1976 US Standard Atmosphere, tabulated
Altitude (km)	Pressure (Pa)	T (deg. C)         	Rho (kg/M^2)	mu (cP) 	SonicVel (m/s)	
0.00000000	101.32500000	14.99999390	1.22497817	17.89380249	340.29702238
1.00000000	89.87475512	8.49999390	1.11162505	17.57845461	336.43697134
2.00000000	79.49554591	1.99999390	1.00647650	17.25961423	332.53211564
3.00000000	70.10898694	-4.50000610	0.90911162	16.93718700	328.58085789
4.00000000	61.64076006	-11.00000610	0.81912180	16.61107508	324.58150350
5.00000000	54.02049408	-17.50000610	0.73611068	16.28117709	320.53225213
6.00000000	47.18164525	-24.00000610	0.65969403	15.94738796	316.43118825
7.00000000	41.06137845	-30.50000610	0.58949971	15.60959887	312.27627054
8.00000000	35.60044920	-37.00000610	0.52516756	15.26769714	308.06532000
9.00000000	30.74308641	-43.50000610	0.46634935	14.92156620	303.79600660
10.00000000	26.43599854	-50.00000610	0.41269499	14.57108548	299.46583423
11.00000000	22.63200073	-56.50000610	0.36391053	14.21613046	295.07212358
12.00000000	19.33040323	-56.50000610	0.31082260	14.21613046	295.07212358
13.00000000	16.51044878	-56.50000610	0.26547923	14.21613046	295.07212358
14.00000000	14.10187443	-56.50000610	0.22675064	14.21613046	295.07212358
15.00000000	12.04466729	-56.50000610	0.19367184	14.21613046	295.07212358
16.00000000	10.28756928	-56.50000610	0.16541864	14.21613046	295.07212358
17.00000000	8.78679993	-56.50000610	0.14128707	14.21613046	295.07212358
18.00000000	7.50496554	-56.50000610	0.12067585	14.21613046	295.07212358
19.00000000	6.41012749	-56.50000610	0.10307144	14.21613046	295.07212358
20.00000000	5.47480011	-56.50000610	0.08803187	14.21613046	295.07212358
21.00000000	4.67782311	-55.50000610	0.07487132	14.27103525	295.75232764
22.00000000	3.99974702	-54.50000610	0.06372552	14.32583158	296.43097088
23.00000000	3.42240652	-53.50000610	0.05427886	14.38051993	297.10806400
24.00000000	2.93047613	-52.50000610	0.04626628	14.43510075	297.78361756
25.00000000	2.51101625	-51.50000610	0.03946500	14.48957452	298.45764202
26.00000000	2.15309334	-50.50000610	0.03368763	14.54394171	299.13014772
27.00000000	1.84746186	-49.50000610	0.02877643	14.59820277	299.80114487
28.00000000	1.58629782	-48.50000610	0.02459850	14.65235817	300.47064359
29.00000000	1.36297522	-47.50000610	0.02104180	14.70640837	301.13865387
30.00000000	1.17180004	-46.50000610	0.01801060	14.76035381	301.80518558
31.00000000	1.00817738	-45.50000610	0.01542765	14.81419497	302.47024852
32.00000000	0.86801004	-44.50000610	0.01322464	14.86793228	303.13385234
33.00000000	0.74822269	-41.70000615	0.01126170	15.01784812	304.98426149
34.00000000	0.64611906	-38.90000620	0.00960867	15.16696313	306.82351129
35.00000000	0.55892219	-36.10000625	0.00821376	15.31528694	308.65180123
36.00000000	0.48431675	-33.30000629	0.00703429	15.46282906	310.46932493
37.00000000	0.42036815	-30.50000634	0.00603504	15.60959885	312.27627039
38.00000000	0.36545652	-27.70000639	0.00518684	15.75560554	314.07282017
39.00000000	0.31822276	-24.90000644	0.00446552	15.90085823	315.85915167
40.00000000	0.27751999	-22.09999695	0.00385092	16.04536636	317.63544331
41.00000000	0.24239468	-19.29999700	0.00332641	16.18913778	319.40185060
42.00000000	0.21202966	-16.49999704	0.00287797	16.33218168	321.15854261
43.00000000	0.18573805	-13.69999709	0.00249389	16.47450663	322.90567789
44.00000000	0.16293797	-10.89999714	0.00216440	16.61612105	324.64341074
45.00000000	0.14313565	-8.09999719	0.00188127	16.75703327	326.37189134
