1976 US Standard Atmosphere, tabulated
Altitude(km)	Pressure(pascals)	 T (deg K	 Rho(kg/M^2)	mu(Nt-sec/M^2) 	 SonicVelocity(m/sec)`	
0.00000000	101325.00000000	288.14999390	1.22499918	0.00001789	340.29410418
0.20000000	98945.32559189	286.84999390	1.20165068	0.00001783	339.52561133
0.40000000	96611.10934383	285.54999390	1.17864418	0.00001777	338.75537510
0.60000000	94321.68392160	284.24999390	1.15597617	0.00001771	337.98338357
0.80000000	92076.38880948	282.94999390	1.13364321	0.00001764	337.20962468
1.00000000	89874.57027130	281.64999390	1.11164183	0.00001758	336.43408624
1.20000000	87715.58131152	280.34999390	1.08996862	0.00001751	335.65675592
1.40000000	85598.78163638	279.04999390	1.06862017	0.00001745	334.87762123
1.60000000	83523.53761503	277.74999390	1.04759309	0.00001739	334.09666956
1.80000000	81489.22224078	276.44999390	1.02688400	0.00001732	333.31388813
2.00000000	79495.21509240	275.14999390	1.00648958	0.00001726	332.52926402
2.20000000	77540.90229535	273.84999390	0.98640648	0.00001720	331.74278416
2.40000000	75625.67648322	272.54999390	0.96663140	0.00001713	330.95443531
2.60000000	73748.93675910	271.24999390	0.94716104	0.00001707	330.16420408
2.80000000	71910.08865702	269.94999390	0.92799215	0.00001700	329.37207694
3.00000000	70108.54410349	268.64999390	0.90912147	0.00001694	328.57804016
3.20000000	68343.72137903	267.34999390	0.89054577	0.00001687	327.78207987
3.40000000	66615.04507974	266.04999390	0.87226184	0.00001681	326.98418202
3.60000000	64921.94607898	264.74999390	0.85426649	0.00001674	326.18433240
3.80000000	63263.86148904	263.44999390	0.83655655	0.00001668	325.38251660
4.00000000	61640.23462290	262.14999390	0.81912887	0.00001661	324.57872007
4.20000000	60050.51495598	260.84999390	0.80198031	0.00001655	323.77292803
4.40000000	58494.15808800	259.54999390	0.78510776	0.00001648	322.96512557
4.60000000	56970.62570486	258.24999390	0.76850814	0.00001641	322.15529756
4.80000000	55479.38554057	256.94999390	0.75217835	0.00001635	321.34342868
